pdb,resolution,year,target,value,unit,precision,chains,number_of_chains,coefficient,logM
2uzi,2.0,2007,Kd,0.35,nM,=,,,1e-08,-8.455931955649724
2qxv,1.82,2007,Kd,0.38,uM,=,,,1e-05,-5.42021640338319
2oin,2.5,2007,Kd,0.51,uM,=,,,1e-05,-5.292429823902063
2odg,0.0,2007,Kd,0.59,uM,=,,,1e-05,-5.229147988357856
2j4w,2.5,2007,Kd,0.6,nM,=,,,1e-08,-8.221848749616356
2omu,1.8,2007,Kd,0.6,nM,=,,,1e-08,-8.221848749616356
2r0k,3.51,2007,Kd,0.6,nM,=,,,1e-08,-8.221848749616356
2j6e,3.0,2007,Kd,0.6,uM,=,,,1e-05,-5.221848749616356
2oje,3.0,2007,Kd,0.6,uM,=,,,1e-05,-5.221848749616356
2o98,2.7,2007,Kd,0.85,nM,=,,,1e-08,-8.070581074285707
2gox,2.2,2007,Kd,0.8,nM,=,,,1e-08,-8.096910013008056
2i9b,2.8,2007,Kd,0.96,nM,=,,,1e-08,-8.017728766960431
2ifg,3.4,2007,Kd,0.9,nM,=,,,1e-08,-8.045757490560675
2nyz,2.6,2007,Kd,0.9,nM,=,,,1e-08,-8.045757490560675
2pkg,3.3,2007,Kd,1.06,uM,=,,,1e-05,-4.97469413473523
2i25,1.8,2007,Kd,1.0,nM,=,,,1e-08,-8.0
2qej,3.2,2007,Kd,1.1,nM,=,,,1e-08,-7.958607314841775
2omv,1.9,2007,Kd,1.2,nM,=,,,1e-08,-7.920818753952375
2pon,0.0,2007,Kd,1.4,uM,=,,,1e-05,-4.853871964321762
2ot3,2.1,2007,Kd,1.8,uM,=,,,1e-05,-4.7447274948966935
2pms,2.91,2007,Kd,10.3,nM,=,,,1e-08,-6.987162775294828
2ju0,0.0,2007,Kd,100.0,nM,=,,,1e-08,-6.0
2omt,2.0,2007,Kd,100.0,nM,=,,,1e-08,-6.0
2q7n,4.0,2007,Kd,10.0,pM,=,,,1e-11,-10.0
2qc1,1.94,2007,Kd,10.0,pM,=,,,1e-11,-10.0
2nup,2.8,2007,Kd,10.0,uM,=,,,1e-05,-4.0
2nut,2.3,2007,Kd,10.0,uM,=,,,1e-05,-4.0
2omw,1.85,2007,Kd,10.0,uM,=,,,1e-05,-4.0
2qiy,1.69,2007,Kd,119.0,nM,=,,,1e-08,-5.924453038607469
2omx,1.7,2007,Kd,120.0,nM,=,,,1e-08,-5.920818753952375
2noj,2.7,2007,Kd,13.0,nM,=,,,1e-08,-6.886056647693163
2rf9,3.5,2007,Kd,13.0,uM,=,,,1e-05,-3.886056647693163
2r0l,2.2,2007,Kd,14.6,nM,=,,,1e-08,-6.835647144215563
2q0o,2.0,2007,Kd,14.9,nM,=,,,1e-08,-6.826813731587726
2h64,1.92,2007,Kd,140.0,nM,=,,,1e-08,-5.853871964321762
2r9p,1.4,2007,Kd,14.0,uM,=,,,1e-05,-3.853871964321762
2jcc,2.5,2007,Kd,15.4,uM,=,,,1e-05,-3.812479279163537
2oor,2.32,2007,Kd,15.5,nM,=,,,1e-08,-6.809668301829708
2phe,0.0,2007,Kd,15.0,uM,=,,,1e-05,-3.8239087409443187
2rmk,0.0,2007,Kd,170.0,nM,=,,,1e-08,-5.769551078621726
2ij0,2.25,2007,Kd,180.0,pM,=,,,1e-11,-8.744727494896694
2p4a,1.9,2007,Kd,180.0,pM,=,,,1e-11,-8.744727494896694
2jgz,2.9,2007,Kd,1.0,mM,=,,,0.01,-2.0
2p5t,3.2,2007,Kd,1.0,nM,=,,,1e-08,-8.0
2v2w,1.6,2007,Kd,2.2,uM,=,,,1e-05,-4.657577319177793
2p1l,2.5,2007,Kd,2.3,uM,=,,,1e-05,-4.638272163982407
2oza,2.7,2007,Kd,2.5,nM,=,,,1e-08,-7.6020599913279625
2h62,1.85,2007,Kd,2.7,uM,=,,,1e-05,-4.568636235841013
2i3t,2.8,2007,Kd,2.7,uM,=,,,1e-05,-4.568636235841013
2ot8,3.1,2007,Kd,20.0,nM,=,,,1e-08,-6.698970004336019
2ra3,1.46,2007,Kd,20.0,pM,=,,,1e-11,-9.698970004336019
2v8s,2.22,2007,Kd,22.0,uM,=,,,1e-05,-3.657577319177794
2p49,1.38,2007,Kd,23.0,nM,=,,,1e-08,-6.638272163982407
2hqs,1.5,2007,Kd,27.0,nM,=,,,1e-08,-6.568636235841013
2j8s,2.54,2007,Kd,28.0,nM,=,,,1e-08,-6.552841968657781
2v6x,1.98,2007,Kd,28.0,uM,=,,,1e-05,-3.5528419686577806
2yvj,1.9,2007,Kd,294.0,uM,=,,,1e-05,-2.5316526695878427
2hqw,1.9,2007,Kd,2.0,nM,=,,,1e-08,-7.698970004336019
2iou,3.16,2007,Kd,3.47,uM,=,,,1e-05,-4.459670525209126
2i3s,1.9,2007,Kd,3.6,uM,=,,,1e-05,-4.443697499232712
2iyb,2.35,2007,Kd,3.6,uM,=,,,1e-05,-4.443697499232712
2jix,3.2,2007,Kd,30.0,nM,=,,,1e-08,-6.522878745280337
2psm,2.19,2007,Kd,30.0,pM,=,,,1e-11,-9.522878745280337
2j8u,2.88,2007,Kd,31.8,uM,=,,,1e-05,-3.4975728800155674
2iwg,2.35,2007,Kd,37.0,nM,=,,,1e-08,-6.431798275933005
2z3q,1.85,2007,Kd,38.0,pM,=,,,1e-11,-9.42021640338319
2z3r,2.0,2007,Kd,38.0,pM,=,,,1e-11,-9.42021640338319
2vda,0.0,2007,Kd,3.0,uM,=,,,1e-05,-4.522878745280337
2pop,3.1,2007,Kd,4.2,uM,=,,,1e-05,-4.376750709602099
2z8w,2.45,2007,Kd,4.7,nM,=,,,1e-08,-7.327902142064283
2uwe,2.4,2007,Kd,4.7,uM,=,,,1e-05,-4.327902142064283
2z8v,2.35,2007,Kd,4.8,nM,=,,,1e-08,-7.318758762624412
2omz,1.6,2007,Kd,400.0,nM,=,,,1e-08,-5.3979400086720375
2ihs,2.2,2007,Kd,40.0,nM,=,,,1e-08,-6.3979400086720375
2jt4,0.0,2007,Kd,40.0,uM,=,,,1e-05,-3.3979400086720375
2ptt,1.63,2007,Kd,4.0,uM,=,,,1e-05,-4.3979400086720375
2j59,2.1,2007,Kd,55.0,nM,=,,,1e-08,-6.259637310505756
2oob,1.9,2007,Kd,57.0,uM,=,,,1e-05,-3.2441251443275085
2r56,2.8,2007,Kd,5.0,uM,=,,,1e-05,-4.301029995663981
2v3b,2.45,2007,Kd,5.0,uM,=,,,1e-05,-4.301029995663981
2qho,1.85,2007,Kd,60.0,uM,=,,,1e-05,-3.221848749616356
2onl,4.0,2007,Kd,6.0,nM,=,,,1e-08,-7.221848749616356
2ibf,3.2,2007,Kd,7.8,nM,=,,,1e-08,-7.107905397309519
2qr0,3.5,2007,Kd,7.8,nM,=,,,1e-08,-7.107905397309519
2j5l,2.9,2007,Kd,77.0,nM,=,,,1e-08,-6.113509274827518
2v9t,1.7,2007,Kd,8.2,nM,=,,,1e-08,-7.086186147616283
2pye,2.3,2007,Kd,81.6,nM,=,,,1e-08,-6.088309841246139
2uyz,1.4,2007,Kd,82.0,nM,=,,,1e-08,-6.086186147616283
2px9,0.0,2007,Kd,87.4,uM,=,,,1e-05,-3.058488567365597
2i26,2.5,2007,Kd,9.4,nM,=,,,1e-08,-7.026872146400302
3biw,3.5,2007,Kd,97.0,nM,=,,,1e-08,-6.013228265733755
2v1d,3.1,2007,Ki,0.05,uM,=,,,1e-05,-6.301029995663981
2o8v,3.0,2007,Ki,1.1,uM,=,,,1e-05,-4.958607314841775
2uxn,2.72,2007,Ki,120.0,nM,=,,,1e-08,-5.920818753952375
2g81,1.55,2007,Ki,13.6,nM,=,,,1e-08,-6.866461091629782
2nz1,2.5,2007,Ki,18.0,nM,=,,,1e-08,-6.7447274948966935
2ijo,2.3,2007,Ki,24.0,nM,=,,,1e-08,-6.619788758288394
2pw8,1.84,2007,Ki,25.0,fM,=,,,1e-14,-12.602059991327963
2jod,0.0,2007,Ki,350.0,nM,=,,,1e-08,-5.455931955649724
2nqd,1.75,2007,Ki,39.0,pM,=,,,1e-11,-9.4089353929735
2p3f,3.1,2007,Ki,43.0,pM,=,,,1e-11,-9.366531544420413
2uuy,1.15,2007,Ki,5.6,nM,=,,,1e-08,-7.251811972993799
3c5t,2.1,2008,IC50,0.6,nM,=,,,1e-08,-8.221848749616356
2z7f,1.7,2008,IC50,13.0,nM,=,,,1e-08,-6.886056647693163
2w2n,2.3,2008,IC50,140.0,nM,=,,,1e-08,-5.853871964321762
3brt,2.25,2008,IC50,36.0,nM,=,,,1e-08,-6.443697499232713
3brv,2.2,2008,IC50,47.0,nM,=,,,1e-08,-6.327902142064283
2qur,2.5,2008,IC50,500.0,nM,=,,,1e-08,-5.301029995663981
3c59,2.3,2008,IC50,5.0,nM,=,,,1e-08,-7.301029995663981
3ehu,1.96,2008,IC50,6.6,uM,=,,,1e-05,-4.180456064458132
3bow,2.4,2008,IC50,64.0,nM,=,,,1e-08,-6.1938200260161125
2za4,1.58,2008,Kd,0.14,nM,=,,,1e-08,-8.853871964321762
2vdb,2.52,2008,Kd,0.15,nM,=,,,1e-08,-8.823908740944319
3dxc,2.1,2008,Kd,0.22,uM,=,,,1e-05,-5.657577319177793
2vfx,1.95,2008,Kd,0.25,uM,=,,,1e-05,-5.6020599913279625
2k05,0.0,2008,Kd,0.2,uM,=,,,1e-05,-5.698970004336019
3dvu,2.5,2008,Kd,0.2,uM,=,,,1e-05,-5.698970004336019
2roz,0.0,2008,Kd,0.32,uM,=,,,1e-05,-5.494850021680094
3dxe,2.0,2008,Kd,0.33,uM,=,,,1e-05,-5.481486060122112
3dxd,2.2,2008,Kd,0.34,uM,=,,,1e-05,-5.468521082957745
2vlp,2.0,2008,Kd,0.543,pM,=,,,1e-11,-11.265200170411154
2jti,0.0,2008,Kd,0.588,uM,=,,,1e-05,-5.230622673923861
2jzn,0.0,2008,Kd,0.5,mM,=,,,0.01,-2.3010299956639813
1vsq,0.0,2008,Kd,0.5,mM,=,"A,B,C,A,B,C",6.0,0.01,-2.3010299956639813
2pjy,3.0,2008,Kd,0.5,uM,=,,,1e-05,-5.301029995663981
3ddc,1.8,2008,Kd,0.77,uM,=,,,1e-05,-5.113509274827518
2vof,1.8,2008,Kd,0.7,nM,=,,,1e-08,-8.154901959985743
2vlo,1.8,2008,Kd,0.892,pM,=,,,1e-11,-11.049635145623878
2z34,2.4,2008,Kd,0.89,uM,=,,,1e-05,-5.050609993355087
3c4m,1.95,2008,Kd,0.98,uM,=,,,1e-05,-5.008773924307505
3f5c,3.0,2008,Kd,0.9,uM,=,,,1e-05,-5.045757490560675
3dbr,3.05,2008,Kd,1.02,uM,=,,,1e-05,-4.991399828238082
3b2u,2.58,2008,Kd,1.0,nM,=,,,1e-08,-8.0
2v51,2.35,2008,Kd,1.0,uM,=,,,1e-05,-5.0
2qja,2.6,2008,Kd,1.1,nM,=,,,1e-08,-7.958607314841775
2voi,2.1,2008,Kd,1.1,nM,=,,,1e-08,-7.958607314841775
2v4z,2.8,2008,Kd,1.25,uM,=,,,1e-05,-4.903089986991944
2jjt,2.3,2008,Kd,1.2,uM,=,,,1e-05,-4.920818753952375
2jjs,1.85,2008,Kd,1.2,uM,=,,,1e-05,-4.920818753952375
2jki,3.3,2008,Kd,1.64,uM,=,,,1e-05,-4.785156151952302
3dbh,2.85,2008,Kd,1.66,uM,=,,,1e-05,-4.779891911959945
2vln,1.6,2008,Kd,1.68,pM,=,,,1e-11,-10.774690718274137
2v52,1.45,2008,Kd,1.9,uM,=,,,1e-05,-4.721246399047171
3c8k,2.9,2008,Kd,102.0,uM,=,,,1e-05,-2.9913998282380825
2vwe,3.4,2008,Kd,113.7,pM,=,,,1e-11,-8.944239535312265
2p45,1.1,2008,Kd,116.0,nM,=,,,1e-08,-5.935542010773082
2p46,2.5,2008,Kd,116.0,nM,=,,,1e-08,-5.935542010773082
2p48,2.3,2008,Kd,116.0,nM,=,,,1e-08,-5.935542010773082
2p47,2.5,2008,Kd,116.0,nM,=,,,1e-08,-5.935542010773082
3e3q,2.95,2008,Kd,116.0,nM,=,,,1e-08,-5.935542010773082
3ch5,2.1,2008,Kd,120.0,uM,=,,,1e-05,-2.9208187539523753
3eg5,2.7,2008,Kd,1253.0,nM,=,,,1e-08,-4.90204892900585
3eab,2.5,2008,Kd,12.0,uM,=,,,1e-05,-3.920818753952375
2ver,0.0,2008,Kd,13.1,uM,=,,,1e-05,-3.8827287043442356
2rms,0.0,2008,Kd,134.0,nM,=,,,1e-08,-5.872895201635193
2q5d,3.2,2008,Kd,15.6,nM,=,,,1e-08,-6.806875401645539
2p8q,2.35,2008,Kd,15.6,nM,=,,,1e-08,-6.806875401645539
2rnr,0.0,2008,Kd,150.0,nM,=,,,1e-08,-5.823908740944319
2z58,1.88,2008,Kd,16.0,nM,=,,,1e-08,-6.795880017344075
2k6d,0.0,2008,Kd,171.0,uM,=,,,1e-05,-2.767003889607846
2otk,0.0,2008,Kd,17.0,nM,=,,,1e-08,-6.769551078621726
2w2m,2.4,2008,Kd,196.0,nM,=,,,1e-08,-5.707743928643524
3d5r,2.1,2008,Kd,19.0,nM,=,,,1e-08,-6.721246399047171
2voh,1.9,2008,Kd,1.0,nM,=,,,1e-08,-8.0
3dgc,2.5,2008,Kd,1.0,nM,=,,,1e-08,-8.0
3d5o,2.8,2008,Kd,1.0,uM,=,,,1e-05,-5.0
3eba,1.85,2008,Kd,2.36,nM,=,,,1e-08,-7.627087997029894
3e2u,2.6,2008,Kd,2.3,uM,=,,,1e-05,-4.638272163982407
2qj9,2.44,2008,Kd,2.4,nM,=,,,1e-08,-7.619788758288394
2k3s,0.0,2008,Kd,2.7,uM,=,,,1e-05,-4.568636235841013
3eoy,3.4,2008,Kd,2.8,nM,=,,,1e-08,-7.552841968657781
2oqj,2.8,2008,Kd,200.0,uM,=,,,1e-05,-2.6989700043360187
2p44,1.8,2008,Kd,20.0,nM,=,,,1e-08,-6.698970004336019
3bpo,3.0,2008,Kd,20.0,nM,=,,,1e-08,-6.698970004336019
2jy6,0.0,2008,Kd,20.0,uM,=,,,1e-05,-3.6989700043360187
3bn3,2.1,2008,Kd,20.0,uM,=,,,1e-05,-3.6989700043360187
2vog,1.9,2008,Kd,210.0,nM,=,,,1e-08,-5.6777807052660805
2vlq,1.6,2008,Kd,22.8,pM,=,,,1e-11,-9.642065152999546
3bk3,2.7,2008,Kd,22.0,nM,=,,,1e-08,-6.657577319177793
2p43,1.65,2008,Kd,23.0,nM,=,,,1e-08,-6.638272163982407
2p42,1.8,2008,Kd,23.0,nM,=,,,1e-08,-6.638272163982407
3b9f,1.6,2008,Kd,24.0,uM,=,,,1e-05,-3.619788758288394
3eo1,3.1,2008,Kd,250.0,pM,=,,,1e-11,-8.602059991327963
3be1,2.9,2008,Kd,26.0,nM,=,,,1e-08,-6.585026652029182
3bgf,3.0,2008,Kd,26.0,nM,=,,,1e-08,-6.585026652029182
3d5s,2.3,2008,Kd,26.0,nM,=,,,1e-08,-6.585026652029182
3b2v,3.3,2008,Kd,3.3,nM,=,,,1e-08,-7.481486060122113
3bdy,2.6,2008,Kd,300.0,nM,=,,,1e-08,-5.522878745280337
3blh,2.48,2008,Kd,300.0,nM,=,,,1e-08,-5.522878745280337
3ech,1.8,2008,Kd,300.0,nM,=,,,1e-08,-5.522878745280337
3bky,2.61,2008,Kd,30.0,nM,=,,,1e-08,-6.522878745280337
3d7u,4.11,2008,Kd,30.0,uM,=,,,1e-05,-3.5228787452803374
3cx8,2.0,2008,Kd,340.0,nM,=,,,1e-08,-5.468521082957745
2k42,0.0,2008,Kd,35.0,nM,=,,,1e-08,-6.455931955649724
2vsm,1.8,2008,Kd,35.0,nM,=,,,1e-08,-6.455931955649724
2k2u,0.0,2008,Kd,360.0,nM,=,,,1e-08,-5.443697499232712
2efh,2.1,2008,Kd,36.0,nM,=,,,1e-08,-6.443697499232713
2rgn,3.5,2008,Kd,36.0,nM,=,,,1e-08,-6.443697499232713
3c66,2.6,2008,Kd,3.0,uM,=,,,1e-05,-4.522878745280337
3d2u,2.21,2008,Kd,4.0,nM,=,,,1e-08,-7.3979400086720375
3bp8,2.85,2008,Kd,4.14,nM,=,,,1e-08,-7.382999658879101
3dvm,2.6,2008,Kd,4.32,nM,=,,,1e-08,-7.364516253185088
3c4p,1.75,2008,Kd,4.4,nM,=,,,1e-08,-7.356547323513812
3cqx,2.3,2008,Kd,4.5,uM,=,,,1e-05,-4.346787486224656
3c4o,1.7,2008,Kd,4.6,nM,=,,,1e-08,-7.337242168318426
3e2h,3.8,2008,Kd,4.6,uM,=,,,1e-05,-4.337242168318426
3cx6,2.5,2008,Kd,4.8,uM,=,,,1e-05,-4.318758762624412
2qjb,2.5,2008,Kd,4.9,nM,=,,,1e-08,-7.309803919971486
2jtt,0.0,2008,Kd,4.9,uM,=,,,1e-05,-4.309803919971486
2vlr,2.3,2008,Kd,4.9,uM,=,,,1e-05,-4.309803919971486
3c09,3.2,2008,Kd,43.0,nM,=,,,1e-08,-6.366531544420414
2vyr,2.0,2008,Kd,44.0,nM,=,,,1e-08,-6.356547323513812
3ejj,2.4,2008,Kd,455.0,nM,=,,,1e-08,-5.341988603342887
3bpn,3.02,2008,Kd,487.0,nM,=,,,1e-08,-5.3124710387853655
3cqc,2.53,2008,Kd,4.0,nM,=,,,1e-08,-7.3979400086720375
3cqg,3.0,2008,Kd,4.0,nM,=,,,1e-08,-7.3979400086720375
2k5b,0.0,2008,Kd,4.0,uM,=,,,1e-05,-4.3979400086720375
2ve7,2.88,2008,Kd,4.0,uM,=,,,1e-05,-4.3979400086720375
2vlj,2.4,2008,Kd,5.2,uM,=,,,1e-05,-4.2839966563652006
3beg,2.9,2008,Kd,50.0,nM,=,,,1e-08,-6.301029995663981
3cx7,2.25,2008,Kd,520.0,nM,=,,,1e-08,-5.2839966563652006
3bpl,2.93,2008,Kd,559.0,nM,=,,,1e-08,-5.252588192113577
3chw,2.3,2008,Kd,57.0,nM,=,,,1e-08,-6.2441251443275085
2efd,3.0,2008,Kd,7.3,nM,=,,,1e-08,-7.136677139879544
3c9a,1.6,2008,Kd,7.7,nM,=,,,1e-08,-7.113509274827518
2vay,1.94,2008,Kd,7.9,nM,=,,,1e-08,-7.102372908709558
3d7t,2.9,2008,Kd,70.0,uM,=,,,1e-05,-3.154901959985743
2v5q,2.3,2008,Kd,71.0,nM,=,,,1e-08,-6.1487416512809245
3crk,2.3,2008,Kd,8.3,uM,=,,,1e-05,-4.080921907623926
3dbl,2.9,2008,Kd,8.75,uM,=,,,1e-05,-4.057991946977687
3dvg,2.6,2008,Kd,8.7,nM,=,,,1e-08,-7.060480747381382
2qna,2.84,2008,Kd,83.0,nM,=,,,1e-08,-6.080921907623926
3bik,2.65,2008,Kd,8.0,uM,=,,,1e-05,-4.096910013008056
3bs5,2.0,2008,Kd,92.5,nM,=,,,1e-08,-6.0338582672609675
3dvn,2.7,2008,Kd,92.0,nM,=,,,1e-08,-6.036212172654444
3bh6,2.6,2008,Kd,95.0,nM,=,,,1e-08,-6.022276394711152
3bx1,1.85,2008,Kd,1.3,uM,~,,,1e-05,-4.886056647693163
3d1m,1.7,2008,Kd,1.3,uM,~,,,1e-05,-4.886056647693163
3b4v,2.48,2008,Kd,30.0,pM,~,,,1e-11,-9.522878745280337
3fju,1.6,2008,Ki,1.6,nM,=,,,1e-08,-7.795880017344075
2oul,2.2,2008,Ki,1.7,nM,=,,,1e-08,-7.769551078621726
2ody,2.35,2008,Ki,1.8,nM,=,,,1e-08,-7.7447274948966935
3bg4,2.5,2008,Ki,34.33,nM,=,,,1e-08,-6.46432619657425
3ixe,1.9,2009,IC50,2.3,uM,=,,,1e-05,-4.638272163982407
3iol,2.1,2009,IC50,500.0,nM,=,,,1e-08,-5.301029995663981
3gjn,2.48,2009,Kd,1.0,pM,<,,,1e-11,-11.0
2w84,0.0,2009,Kd,0.07,uM,=,,,1e-05,-6.154901959985743
3a6b,1.8,2009,Kd,0.108,uM,=,,,1e-05,-5.966576244513051
2vxq,1.9,2009,Kd,0.11,nM,=,,,1e-08,-8.958607314841775
3da7,2.25,2009,Kd,0.13,uM,=,,,1e-05,-5.886056647693163
3k2u,2.35,2009,Kd,0.16,nM,=,,,1e-08,-8.795880017344075
2w9e,2.9,2009,Kd,0.1,nM,=,,,1e-08,-9.0
3fp6,1.49,2009,Kd,0.1,pM,=,,,1e-11,-12.0
2wjv,2.85,2009,Kd,0.2,uM,=,,,1e-05,-5.698970004336019
3huj,2.5,2009,Kd,0.2,uM,=,,,1e-05,-5.698970004336019
3inb,3.1,2009,Kd,0.2,uM,=,,,1e-05,-5.698970004336019
2kbw,0.0,2009,Kd,0.32,uM,=,,,1e-05,-5.494850021680094
2khs,0.0,2009,Kd,0.36,uM,=,,,1e-05,-5.443697499232712
2wel,1.9,2009,Kd,0.3,uM,=,,,1e-05,-5.522878745280337
3dxa,3.5,2009,Kd,0.3,uM,=,,,1e-05,-5.522878745280337
2w83,1.93,2009,Kd,0.42,uM,=,,,1e-05,-5.376750709602099
3g3a,2.2,2009,Kd,0.43,uM,=,,,1e-05,-5.366531544420414
3d3v,2.8,2009,Kd,0.46,uM,=,,,1e-05,-5.337242168318426
3gty,3.4,2009,Kd,0.47,nM,=,,,1e-08,-8.327902142064282
2zvk,2.7,2009,Kd,0.4,uM,=,,,1e-05,-5.3979400086720375
3d39,2.81,2009,Kd,0.64,uM,=,,,1e-05,-5.1938200260161125
2k79,0.0,2009,Kd,0.67,mM,=,,,0.01,-2.1739251972991736
2k7a,0.0,2009,Kd,0.67,mM,=,,,0.01,-2.1739251972991736
3idc,2.7,2009,Kd,0.6,nM,=,,,1e-08,-8.221848749616356
2wp0,2.67,2009,Kd,0.93,uM,=,,,1e-05,-5.031517051446065
3knb,1.4,2009,Kd,0.94,uM,=,,,1e-05,-5.026872146400302
3gd1,3.5,2009,Kd,0.98,uM,=,,,1e-05,-5.008773924307505
3h3g,1.94,2009,Kd,0.99,uM,=,,,1e-05,-5.00436480540245
3ew3,3.8,2009,Kd,1.2,nM,=,,,1e-08,-7.920818753952375
2wy2,0.0,2009,Kd,1.3,mM,=,,,0.01,-1.8860566476931633
3hcu,2.6,2009,Kd,1.48,uM,=,,,1e-05,-4.8297382846050425
3hct,2.1,2009,Kd,1.48,uM,=,,,1e-05,-4.8297382846050425
3kpr,2.6,2009,Kd,1.5,uM,=,,,1e-05,-4.823908740944319
2zvo,2.9,2009,Kd,1.6,uM,=,,,1e-05,-4.795880017344075
2zvn,3.0,2009,Kd,1.6,uM,=,,,1e-05,-4.795880017344075
2k8c,0.0,2009,Kd,1.8,mM,=,,,0.01,-1.7447274948966938
2k8b,0.0,2009,Kd,1.8,mM,=,,,0.01,-1.7447274948966938
3htu,2.0,2009,Kd,1.8,uM,=,,,1e-05,-4.7447274948966935
3g6j,3.1,2009,Kd,1.9,nM,=,,,1e-08,-7.721246399047171
2wo2,2.45,2009,Kd,10.8,uM,=,,,1e-05,-3.96657624451305
3k8p,2.6,2009,Kd,10.0,nM,=,,,1e-08,-7.0
3hi1,2.9,2009,Kd,11.2,nM,=,,,1e-08,-6.950781977329818
3idb,1.62,2009,Kd,11.3,nM,=,,,1e-08,-6.94692155651658
3dco,11.0,2009,Kd,11.6,uM,=,,,1e-05,-3.9355420107730814
3eiq,3.5,2009,Kd,110.0,nM,=,,,1e-08,-5.958607314841775
3ifq,2.8,2009,Kd,116.0,nM,=,,,1e-08,-5.935542010773082
2knb,0.0,2009,Kd,11.0,uM,=,,,1e-05,-3.958607314841775
2wii,2.7,2009,Kd,11.0,uM,=,,,1e-05,-3.958607314841775
3hh2,2.15,2009,Kd,12.3,nM,=,,,1e-08,-6.910094888560602
3h2u,2.75,2009,Kd,12.6,uM,=,,,1e-05,-3.899629454882437
3f1p,1.17,2009,Kd,120.0,uM,=,,,1e-05,-2.9208187539523753
3gni,2.35,2009,Kd,12.0,nM,=,,,1e-08,-6.920818753952375
3fku,3.2,2009,Kd,130.0,pM,=,,,1e-11,-8.886056647693163
3ff8,2.0,2009,Kd,130.0,uM,=,,,1e-05,-2.886056647693163
3jsv,2.7,2009,Kd,131.0,uM,=,,,1e-05,-2.8827287043442356
2wqz,3.9,2009,Kd,132.0,nM,=,,,1e-08,-5.87942606879415
3hpw,1.45,2009,Kd,13.0,uM,=,,,1e-05,-3.886056647693163
2w19,2.15,2009,Kd,140.0,nM,=,,,1e-08,-5.853871964321762
2wfx,3.2,2009,Kd,14.0,nM,=,,,1e-08,-6.853871964321762
2wub,2.9,2009,Kd,150.0,nM,=,,,1e-08,-5.823908740944319
3g6d,3.2,2009,Kd,15.0,pM,=,,,1e-11,-9.823908740944319
3h6g,2.7,2009,Kd,15.0,uM,=,,,1e-05,-3.8239087409443187
2wuc,2.7,2009,Kd,161.0,nM,=,,,1e-08,-5.79317412396815
3hg0,2.1,2009,Kd,16.0,nM,=,,,1e-08,-6.795880017344075
3di2,2.7,2009,Kd,18.0,uM,=,,,1e-05,-3.744727494896694
3g9v,2.76,2009,Kd,1.0,pM,=,,,1e-11,-11.0
3jrm,2.9,2009,Kd,1.0,pM,=,,,1e-11,-11.0
3kv4,2.19,2009,Kd,1.0,uM,=,,,1e-05,-5.0
2vxs,2.63,2009,Kd,2.1,nM,=,,,1e-08,-7.6777807052660805
3gc3,2.2,2009,Kd,2.1,uM,=,,,1e-05,-4.6777807052660805
3eoa,2.8,2009,Kd,2.2,nM,=,,,1e-08,-7.657577319177793
3eob,3.6,2009,Kd,2.2,nM,=,,,1e-08,-7.657577319177793
2wo3,2.35,2009,Kd,2.3,uM,=,,,1e-05,-4.638272163982407
2k8f,0.0,2009,Kd,2.7,uM,=,,,1e-05,-4.568636235841013
2kc8,0.0,2009,Kd,200.0,nM,=,,,1e-08,-5.698970004336019
3ff7,1.8,2009,Kd,200.0,uM,=,,,1e-05,-2.6989700043360187
3gxu,2.5,2009,Kd,203.0,nM,=,,,1e-08,-5.692503962086787
2wby,2.6,2009,Kd,20.0,nM,=,,,1e-08,-6.698970004336019
3doe,2.25,2009,Kd,20.0,nM,=,,,1e-08,-6.698970004336019
3g7z,2.35,2009,Kd,20.0,pM,=,,,1e-11,-9.698970004336019
3fhc,2.8,2009,Kd,21.6,nM,=,,,1e-08,-6.665546248849069
2w2x,2.3,2009,Kd,21.9,uM,=,,,1e-05,-3.6595558851598815
3di3,2.9,2009,Kd,21.0,nM,=,,,1e-08,-6.6777807052660805
3h8k,1.8,2009,Kd,21.0,nM,=,,,1e-08,-6.6777807052660805
3h2v,2.9,2009,Kd,22.1,uM,=,,,1e-05,-3.6556077263148894
3ho5,3.01,2009,Kd,220.0,nM,=,,,1e-08,-5.657577319177793
3gsn,2.8,2009,Kd,27.7,uM,=,,,1e-05,-3.5575202309355514
3jvf,3.3,2009,Kd,292.0,nM,=,,,1e-08,-5.534617148551582
3he7,2.8,2009,Kd,296.0,nM,=,,,1e-08,-5.528708288941061
3etb,3.8,2009,Kd,29.0,pM,=,,,1e-11,-9.537602002101044
3gqi,2.5,2009,Kd,33.0,nM,=,,,1e-08,-6.481486060122113
3g3b,2.4,2009,Kd,34.0,nM,=,,,1e-08,-6.468521082957745
3g9w,2.17,2009,Kd,36.0,uM,=,,,1e-05,-3.4436974992327127
2w8b,1.86,2009,Kd,38.0,nM,=,,,1e-08,-6.42021640338319
3jse,2.9,2009,Kd,3.0,pM,=,,,1e-11,-10.522878745280337
3gj8,1.82,2009,Kd,3.0,uM,=,,,1e-05,-4.522878745280337
3idx,2.5,2009,Kd,4.04,nM,=,,,1e-08,-7.393618634889395
3idy,3.2,2009,Kd,4.04,nM,=,,,1e-08,-7.393618634889395
2zxx,2.8,2009,Kd,4.4,nM,=,,,1e-08,-7.356547323513812
